release_year,country_list,movie_count
1928,United States,1
1932,United States,3
1933,United States,3
1934,United States,4
1935,United States,4
1936,United States,6
1937,United States,6
1938,United States,5
1939,United States,6
1940,United States,7
1941,United States,7
1942,United States,8
1943,United States,5
1944,United States,3
1945,United States,4
1946,United States,5
1947,United States,6
1948,United States,5
1949,United States,5
1950,United Kingdom,1
1950,United States,8
1951,United States,5
1952,United Kingdom,1
1952,United States,7
1953,United States,8
1954,Egypt,1
1954,United States,6
1955,Italy,2
1955,United States,10
1956,Egypt,1
1956,United States,6
1957,United States,7
1958,Egypt,1
1958,United States,3
1959,India,1
1959,Italy,1
1959,United States,6
1960,India,1
1960,United States,5
1961,United Kingdom,1
1961,United States,5
1962,India,1
1962,Italy,1
1962,United Kingdom,3
1962,United States,4
1963,Canada,1
1963,Egypt,1
1963,Italy,1
1963,United States,5
1964,India,1
1964,United Kingdom,1
1964,United States,5
1965,United Kingdom,1
1965,United States,6
1966,India,1
1966,United States,3
1967,Poland,1
1967,United States,6
1968,Italy,1
1968,United Kingdom,1
1968,United States,3
1969,India,1
1969,United States,6
1970,Egypt,1
1970,Poland,1
1970,United States,1
1971,India,2
1971,United Kingdom,2
1971,United States,7
1972,India,2
1972,United States,8
1973,Egypt,1
1973,Hong Kong,2
1973,India,3
1973,Poland,1
1973,United States,6
1974,France,1
1974,India,2
1974,United Kingdom,2
1974,United States,8
1975,Hong Kong,1
1975,India,2
1975,Lebanon,1
1975,Poland,1
1975,United Kingdom,1
1975,United States,7
1976,Egypt,2
1976,France,1
1976,India,2
1976,United States,8
1977,India,2
1977,United Kingdom,1
1977,United States,9
1977,West Germany,1
1978,Hong Kong,2
1978,India,1
1978,Poland,1
1978,United Kingdom,1
1978,United States,6
1979,Australia,1
1979,Egypt,2
1979,India,3
1979,Japan,1
1979,Lebanon,1
1979,United Kingdom,2
1979,United States,9
1980,Hong Kong,2
1980,India,2
1980,Lebanon,1
1980,Soviet Union,1
1980,United States,9
1981,Australia,1
1981,Canada,1
1981,Egypt,1
1981,Hong Kong,1
1981,India,2
1981,Kuwait,1
1981,United Kingdom,1
1981,United States,7
1982,Egypt,1
1982,France,1
1982,Hong Kong,2
1982,India,6
1982,Poland,1
1982,United Kingdom,1
1982,United States,7
1983,Hong Kong,3
1983,India,4
1983,Poland,1
1983,United States,4
1984,Hong Kong,3
1984,India,3
1984,Italy,1
1984,United States,12
1985,Argentina,1
1985,Canada,1
1985,Hong Kong,2
1985,India,2
1985,Poland,1
1985,United Kingdom,1
1985,United States,6
1986,Canada,1
1986,Hong Kong,1
1986,India,2
1986,United Kingdom,2
1986,United States,15
1987,India,1
1987,United Kingdom,1
1987,United States,14
1988,Hong Kong,1
1988,India,2
1988,Japan,1
1988,United Kingdom,1
1988,United States,20
1989,Canada,1
1989,Denmark,1
1989,France,1
1989,Hong Kong,1
1989,India,3
1989,Ireland,1
1989,United Kingdom,4
1989,United States,16
1990,Australia,1
1990,France,1
1990,Hong Kong,1
1990,India,5
1990,Poland,1
1990,United States,14
1991,Canada,1
1991,France,1
1991,India,3
1991,Mexico,1
1991,Norway,1
1991,United Kingdom,2
1991,United States,18
1992,Australia,2
1992,France,1
1992,Hong Kong,3
1992,India,2
1992,Mexico,1
1992,United Kingdom,4
1992,United States,19
1993,Argentina,1
1993,Austria,1
1993,France,1
1993,Hong Kong,2
1993,India,6
1993,Japan,1
1993,New Zealand,1
1993,United Kingdom,1
1993,United States,29
1994,Canada,1
1994,Egypt,1
1994,Hong Kong,1
1994,India,6
1994,Ireland,1
1994,United Kingdom,3
1994,United States,24
1995,Hong Kong,2
1995,India,6
1995,United Kingdom,1
1995,United States,32
1996,India,3
1996,United Kingdom,2
1996,United States,27
1997,Canada,2
1997,France,1
1997,Hong Kong,2
1997,India,3
1997,Japan,1
1997,United Kingdom,3
1997,United States,38
1998,Argentina,1
1998,Australia,2
1998,Canada,1
1998,India,6
1998,Ireland,1
1998,Japan,1
1998,United Kingdom,2
1998,United States,43
1999,France,3
1999,Germany,2
1999,India,6
1999,Mexico,1
1999,Thailand,1
1999,Turkey,1
1999,United Kingdom,2
1999,United States,38
2000,Australia,1
2000,Canada,5
2000,Germany,2
2000,India,7
2000,South Korea,1
2000,Taiwan,1
2000,United Kingdom,2
2000,United States,42
2001,Australia,2
2001,Denmark,1
2001,Germany,1
2001,Hong Kong,1
2001,India,8
2001,Japan,1
2001,Mexico,1
2001,Turkey,1
2001,United Kingdom,1
2001,United States,43
2002,Australia,2
2002,Brazil,1
2002,Canada,1
2002,France,1
2002,Hong Kong,1
2002,India,11
2002,Indonesia,1
2002,Japan,2
2002,New Zealand,1
2002,South Africa,1
2002,Thailand,1
2002,United Kingdom,5
2002,United States,46
2003,Canada,2
2003,France,1
2003,India,13
2003,Indonesia,1
2003,Japan,2
2003,Lebanon,1
2003,New Zealand,2
2003,Nigeria,1
2003,Spain,1
2003,United Kingdom,4
2003,United States,56
2004,Argentina,1
2004,Australia,1
2004,Canada,3
2004,Egypt,2
2004,Germany,1
2004,Hong Kong,2
2004,India,16
2004,Japan,3
2004,Malaysia,1
2004,South Korea,1
2004,Spain,1
2004,Thailand,1
2004,Turkey,2
2004,United Kingdom,2
2004,United States,46
2004,Uruguay,1
2005,Australia,1
2005,Canada,1
2005,China,1
2005,Egypt,1
2005,France,1
2005,Germany,2
2005,India,21
2005,Indonesia,1
2005,Japan,1
2005,Lebanon,1
2005,Romania,1
2005,Sweden,1
2005,Thailand,1
2005,Turkey,2
2005,United Kingdom,7
2005,United States,52
2006,Argentina,2
2006,Australia,1
2006,Canada,4
2006,Egypt,5
2006,France,1
2006,Germany,1
2006,Hong Kong,1
2006,India,24
2006,Japan,1
2006,Malaysia,1
2006,Mexico,1
2006,Netherlands,1
2006,Philippines,1
2006,Saudi Arabia,1
