country,movie_count
Afghanistan,2
Argentina,55
Australia,87
Austria,13
Bangladesh,3
Belgium,11
Brazil,58
Bulgaria,6
Cambodia,2
Cameroon,1
Canada,260
Chile,20
China,64
Colombia,17
Croatia,1
Czech Republic,6
Denmark,28
Egypt,97
Finland,5
France,167
Georgia,2
Germany,94
Ghana,4
Greece,2
Guatemala,1
Hong Kong,75
Hungary,5
Iceland,4
India,1142
Indonesia,83
Iran,2
Ireland,32
Israel,14
Italy,64
Jamaica,1
Japan,114
Kenya,4
Kosovo,2
Kuwait,5
Lebanon,18
Malaysia,17
Mauritius,1
Mexico,87
Mozambique,1
Namibia,1
Netherlands,24
New Zealand,17
Nigeria,87
Norway,16
Pakistan,18
Paraguay,1
Peru,6
Philippines,77
Poland,24
Portugal,4
Romania,12
Russia,9
Saudi Arabia,7
Serbia,3
Singapore,10
Slovenia,1
Somalia,1
South Africa,36
South Korea,52
Soviet Union,1
Spain,135
Sweden,19
Switzerland,11
Syria,1
Taiwan,15
Tanzania,1
Thailand,41
Turkey,80
United Arab Emirates,22
United Kingdom,531
United States,3808
Uruguay,8
Venezuela,3
Vietnam,7
West Germany,1
Zimbabwe,1
